problem_id,language_type,content,status,id,created_at
999481ad-6770-4c93-b075-21c8499c9b05,py,cHJvYmxlbWEgPSBpbnQoaW5wdXQoKSkNCmNvbnRhZG9yID0gMA0KdGVtcG8gPSAwDQp0ZW50YXRpdmEgPSAwDQp0ZW1wb19hY3VtdWxhZG8gPSAwDQpmb3IgcHJvYmxlbWEgaW4gcmFuZ2UocHJvYmxlbWEpOg0KICAgIGxldHJhID0gaW5wdXQoKQ0KICAgIHRlbnRhdGl2YSA9IGludChpbnB1dCgpKQ0KICAgIGlmIHRlbnRhdGl2YSA+IDE6DQogICAgICAgIHRlbXBvX2FjdW11bGFkbyA9IHRlbXBvX2FjdW11bGFkbyArIDIwDQogICAgICAgIA0KICAgIA0KICAgIHRlbXBvID0gaW50KGlucHV0KCkpDQogICAgY29udGFkb3IgPSBjb250YWRvciArIDENCiAgICB0ZW1wb19hY3VtdWxhZG8gPSB0ZW1wb19hY3VtdWxhZG8gKyB0ZW1wbw0KICAgIA0KcHJpbnQoY29udGFkb3IsdGVtcG9fYWN1bXVsYWRvKQ0KICAgIA0KICAgIA0KDQoNCg0K,RUNTIME ERROR,fb541809-b5e0-4117-abf9-4a1d7bc52b7f,2025-11-08T14:38:00.090000Z
999481ad-6770-4c93-b075-21c8499c9b05,py,UCA9IGludChpbnB1dCgpKQ0KDQp0b3RhbCA9IDANCmNvbnRhZG9yID0gMA0KcHVuaWNhbyA9IDANCmZvciBpIGluIHJhbmdlKFApOg0KICAgIHZhbG9yMSwgdmFsb3IyLCB2YWxvcjMgPSBtYXAoc3RyLCBpbnB1dCgpLnNwbGl0KCIgIikpDQogICAgdmFsb3IzID0gaW50KHZhbG9yMykNCiAgICB2YWxvcjIgPSBpbnQodmFsb3IyKQ0KICAgIGlmICB2YWxvcjIgPiAxOg0KICAgICAgICB0b3RhbCArPSAodmFsb3IyIC0gMSkgKiAyMA0KDQogICAgaWYgdmFsb3IzID4gMDoNCiAgICAgICAgY29udGFkb3IgKz0gMQ0KICAgICAgICB0b3RhbCArPSB2YWxvcjMNCg0KDQpwcmludChmIntjb250YWRvcn0ge3RvdGFsfSIpDQogICAg,ACCEPTED,8593159d-b393-4cc2-a9f7-4e30e10db362,2025-11-08T14:38:00.127000Z
999481ad-6770-4c93-b075-21c8499c9b05,py,cW5kID0gaW50KGlucHV0KCkpDQpxbnRfYWNlaXRvcyA9IDANCnRlbXBvID0gMA0KDQpmb3IgaSBpbiByYW5nZSgwLCBxbmQpOg0KICAgIGV4ZXJjaWNpb3MgPSBpbnB1dCgpLnNwbGl0KCkNCg0KICAgIGlmIGludChleGVyY2ljaW9zWzFdKSA+IDAgYW5kIGludChleGVyY2ljaW9zWzJdKSA+IDA6DQogICAgICAgIHFudF9hY2VpdG9zICs9IDENCiAgICAgICAgdGVtcG8gKz0gaW50KGV4ZXJjaWNpb3NbMl0pICsgMjAgKiAoaW50KGV4ZXJjaWNpb3NbMV0pIC0gMSkNCg0KcHJpbnQoZiJ7cW50X2FjZWl0b3N9IHt0ZW1wb30iKQ==,ACCEPTED,50e2739c-61ce-48e6-ad79-73f6269da928,2025-11-08T14:38:00.168000Z
999481ad-6770-4c93-b075-21c8499c9b05,py,YSA9IGludChpbnB1dCgpKQ0KdGVtcCA9IDANCnRlbnQgPSAwDQpmb3IgaSBpbiByYW5nZShhKToNCiAgIGIgPSBpbnB1dCgpLnNwbGl0KCkNCiAgIGNhcmFjID0gYlswXQ0KICAgbnVtMSA9IGludChiWzFdKQ0KICAgbnVtMiA9IGludChiWzJdKQ0KDQogDQogICBpZihudW0xICE9IDApOg0KICAgICAgdGVudCs9MQ0KICAgIA0KICAgaWYobnVtMSA+IDEpOg0KICAgICAgdGVtcCs9MjAqKG51bTEtMSkNCg0KICAgIA0KICAgdGVtcCs9bnVtMg0KDQpwcmludChmJ3t0ZW50fSB7dGVtcH0nKQ0KICAgDQo=,ACCEPTED,3b32717e-959b-4568-864c-0d74411d4ca1,2025-11-08T14:38:00.208000Z
999481ad-6770-4c93-b075-21c8499c9b05,py,TiA9IGludChpbnB1dCgpKQ0KdG90YWwgPSAwDQphY2VpdG9zID0gMA0KDQpmb3IgaSBpbiByYW5nZShOKToNCiAgICBpZGVudGlmaWNhZG9yLCB0ZW50YXRpdmFzLCB0ZW1wbyA9IGlucHV0KCkuc3BsaXQoKQ0KICAgIHRlbnRhdGl2YXMgPSBpbnQodGVudGF0aXZhcykNCiAgICB0ZW1wbyA9IGludCh0ZW1wbykNCiAgICBpZiB0ZW1wbyA+IDA6DQogICAgICAgIGFjZWl0b3MgKz0gMQ0KICAgIGlmIHRlbnRhdGl2YXMgPiAxOg0KICAgICAgICB0ZW1wbyArPSAodGVudGF0aXZhcyAtIDEpICogMjANCiAgICB0b3RhbCArPSB0ZW1wbw0KDQpwcmludChhY2VpdG9zLCB0b3RhbCkNCg==,ACCEPTED,d53fe36a-469e-40c2-a3b9-48a1ef4ec865,2025-11-08T14:38:00.244000Z
999481ad-6770-4c93-b075-21c8499c9b05,py,UCA9IGludChpbnB1dCgpKQ0KDQp0ZW50YXRpdmFUb3RhbCA9IDANCnRlbXBvVG90YWwgPSAwDQoNCmZvciBpIGluIHJhbmdlKFApOg0KICAgIGlkZW50aWZpY2Fkb3IgPSBpbnB1dCgpDQogICAgcXRkVGVudGF0aXZhID0gaW50KGlucHV0KCkpDQogICAgdGVtcG8gPSBpbnQoaW5wdXQoKSkNCg0KICAgIGlmIHF0ZFRlbnRhdGl2YSA+IDE6DQogICAgICAgIHRlbXBvVG90YWwgKz0gMjANCg0KICAgIGlmIHRlbXBvICE9IDA6DQogICAgICAgIHRlbnRhdGl2YVRvdGFsICs9IDENCiAgICAgICAgdGVtcG9Ub3RhbCArPSB0ZW1wbw0KDQpwcmludCh0ZW50YXRpdmFUb3RhbCwgdGVtcG9Ub3RhbCk=,RUNTIME ERROR,4481a6d4-25e3-46cc-9250-22d595716b5f,2025-11-08T14:38:00.280000Z
999481ad-6770-4c93-b075-21c8499c9b05,py,JycnbjEsIG4yLCBuMyA9IG1hcChmbG9hdCwgaW5wdXQoKS5zcGxpdCgpKQ0KDQpuMSAqPSAwLjcNCm4yICo9IDAuMg0KbjMgKj0gMC4xDQpub3RhID0gbjEgKyBuMiArIG4zDQpwcmludChmJ3tub3RhOiAuNH0nKQ0KcHJpbnQoIiIpJycnDQoNCnggPSBpbnQoaW5wdXQoKSkNCnBvbnRvLCB0ZW1wbyA9IDAsIDANCg0KZm9yIGkgaW4gcmFuZ2UoeCk6DQogICAgbjEsIG4yLCBuMyA9IG1hcChzdHIsIGlucHV0KCkuc3BsaXQoKSkNCiAgICB0ZW50YXRpdmEgPSBpbnQobjIpDQoNCiAgICBpZiB0ZW50YXRpdmEgPiAxOg0KICAgICAgICB0ZW1wbyArPSAodGVudGF0aXZhIC0gMSkgKiAyMA0KICAgIA0KICAgIGlmIGludChuMykgPT0gMDoNCiAgICAgICAgY29udGludWUNCiAgICBlbHNlOiBwb250byArPSAxDQogICAgDQogICAgdGVtcG8gKz0gaW50KG4zKQ0KDQpwcmludChmJ3twb250b30ge3RlbXBvfScp,ACCEPTED,493d6910-f4ca-4c96-8f65-e6261ee83ce9,2025-11-08T14:38:00.316000Z
999481ad-6770-4c93-b075-21c8499c9b05,py,UCA9IGludChpbnB1dCgpKQ0KDQp0ZW50YXRpdmFUb3RhbCA9IDANCnRlbXBvVG90YWwgPSAwDQoNCmZvciBpIGluIHJhbmdlKFApOg0KICAgIGlkZW50aWZpY2Fkb3IgPSBpbnB1dCgpDQogICAgcXRkVGVudGF0aXZhID0gaW50KGlucHV0KCkpDQogICAgdGVtcG8gPSBpbnQoaW5wdXQoKSkNCg0KICAgIGlmIHF0ZFRlbnRhdGl2YSA+IDE6DQogICAgICAgIHRlbXBvVG90YWwgKz0gMjANCg0KICAgIGlmIHRlbXBvICE9IDA6DQogICAgICAgIHRlbnRhdGl2YVRvdGFsICs9IDENCiAgICAgICAgdGVtcG9Ub3RhbCArPSB0ZW1wbw0KDQpwcmludCh0ZW50YXRpdmFUb3RhbCwgdGVtcG9Ub3RhbCwgIlxuIik=,RUNTIME ERROR,63baf0d1-53dc-480c-8872-207a891fca1e,2025-11-08T14:38:00.347000Z
999481ad-6770-4c93-b075-21c8499c9b05,py,cCA9IGludChpbnB1dCgpKQ0Kc29tYV9iID0gMA0Kc29tYV9jID0gMA0KDQoNCmZvciBpIGluIHJhbmdlKHApOg0KICAgIGMyID0gMA0KICAgIGEsIGIsIGMgPSBtYXAoc3RyLGlucHV0KCkuc3BsaXQoKSkNCiAgICBiMiA9IGludChiKQ0KICAgIGMyID0gaW50KGMpDQogICAgaWYgYzIgPiAwOg0KICAgICAgICBzb21hX2IgKz0gMQ0KICAgICAgICBzb21hX2MgKz0gYzINCiAgICBpZiBzb21hX2IgPiAxOg0KICAgICAgICBzb21hX2MgKz0gMjANCg0KcHJpbnQoZiJ7c29tYV9ifSB7c29tYV9jfVxuIik=,WRONG ANSWER,d91c4aab-3b61-4189-a30c-e3c128d1495b,2025-11-08T14:38:00.382000Z
999481ad-6770-4c93-b075-21c8499c9b05,py,UCA9IGludChpbnB1dCgpKQ0KaT0wLCBhY2VpdG89MCwgdGE9MA0KDQp3aGlsZShpPFApOg0KICAgIGlkID0gaW5wdXQoKQ0KICAgIHF0ZCA9IGludChpbnB1dCgpKQ0KICAgIHRpbWUgPSBpbnQoaW5wdXQoKSkNCg0KICAgIHRhKz10aW1lDQogICAgaWYodGltZT4wKToNCiAgICAgICAgYWNlaXRvKz0xDQogICAgICAgIGlmKHF0ZD4xKToNCiAgICAgICAgICAgIHRhKz0ocXRkLTEpKjIwDQogICAgaSs9MQ0KDQpwcmludChmInthY2VpdG99IHt0YX0iKQ0KcHJpbnQoKQ==,RUNTIME ERROR,c02ce241-7164-4d2d-b844-9e24d75d8725,2025-11-08T14:38:00.421000Z
